libre 248;libre 248
libre 249;libre 249
libre 250;libre 250
libre 251;libre 251
libre 252;libre 252
libre 253;libre 253
libre 254;libre 254
libre 255;libre 255
0;0
1;1
2;2
3;3
4;4
5;5
6;6
7;7
8;8
9;9
10;10
11;11
12;12
13;13
14;14
15;15
16;16
17;17
18;18
19;19
20;20
21;21
22;22
23;23
24;24
25;25
26;26
27;27
28;28
29;29
30;30
31;31
32;32
33;33
34;34
35;35
36;36
37;37
38;38
39;39
40;40
41;41
42;42
43;43
44;44
45;45
46;46
47;47
48;48
49;49
50;50
51;51
52;52
53;53
54;54
55;55
56;56
57;57
58;58
59;59
60;60
61;61
62;62
63;63
64;64
65;65
66;66
67;67
68;68
69;69
70;70
71;71
72;72
73;73
74;74
75;75
76;76
77;77
78;78
79;79
80;80
81;81
82;82
83;83
84;84
85;85
86;86
87;87
88;88
89;89
90;90
91;91
92;92
93;93
94;94
95;95
96;96
97;97
98;98
99;99
100;100
200;200
300;300
400;400
500;500
600;600
700;700
800;800
900;900
mille;mille
une;une
onze;onze
vingt et une;vingt et une
trente et une;trente et une
quarante et une;quarante et une
cinquante et une;cinquante et une
soixante et une;soixante et une
soixante et onze;soixante et onze
quatre vingt une;quatre vingt une
virgule;virgule
et;et
moins;moins
minuit;minuit
midi;midi
libre 380;libre 380
volts;volts
ampères;ampères
mètres par seconde;mètres par seconde
libre 384;libre 384
kilomètre heure;kilomètre heure
mètres;mètres
degrés;degrés
pourcent;pourcent
milliampère;milliampère
milliampères heure;milliampères heure
watt;watt
db;db
pied;pied
noeud;noeud
heure;heure
minute;minute
secondes;secondes
tour par minute;tour par minute
g;g
libre 400;libre 400
libre 401;libre 401
libre 402;libre 402
libre 403;libre 403
libre 404;libre 404
libre 405;libre 405
libre 406;libre 406
libre 407;libre 407
libre 408;libre 408
libre 409;libre 409
libre 410;libre 410
libre 411;libre 411
libre 412;libre 412
libre 413;libre 413
libre 414;libre 414
libre 415;libre 415
libre 416;libre 416
libre 417;libre 417
libre 418;libre 418
libre 419;libre 419
libre 420;libre 420
libre 421;libre 421
libre 422;libre 422
libre 423;libre 423
libre 424;libre 424
libre 425;libre 425
libre 426;libre 426
libre 427;libre 427
libre 428;libre 428
libre 429;libre 429
libre 430;libre 430
libre 431;libre 431
libre 432;libre 432
libre 433;libre 433
libre 434;libre 434
libre 435;libre 435
virgule 0;virgule 0
virgule 1;virgule 1
virgule 2;virgule 2
virgule 3;virgule 3
virgule 4;virgule 4
virgule 5;virgule 5
virgule 6;virgule 6
virgule 7;virgule 7
virgule 8;virgule 8
virgule 9;virgule 9
libre 446;libre 446
libre 447;libre 447
libre 448;libre 448
libre 449;libre 449
libre 450;libre 450
libre 451;libre 451
libre 452;libre 452
libre 453;libre 453
libre 454;libre 454
libre 455;libre 455
libre 456;libre 456
libre 457;libre 457
libre 458;libre 458
libre 459;libre 459
libre 460;libre 460
libre 461;libre 461
libre 462;libre 462
libre 463;libre 463
libre 464;libre 464
libre 465;libre 465
libre 466;libre 466
libre 467;libre 467
libre 468;libre 468
libre 469;libre 469
libre 470;libre 470
libre 471;libre 471
libre 472;libre 472
libre 473;libre 473
libre 474;libre 474
libre 475;libre 475
libre 476;libre 476
libre 477;libre 477
libre 478;libre 478
libre 479;libre 479
Bienvenue;Bienvenue sur Open A V R c !
Alerte manche des gaz;Alerte manche des gaz
Alerte inters;Alerte inters
Eeprom corrompue;Eeprom corrompue
Formatage eeprom;Formatage eeprom
Batterie radio faible !;Batterie radio faible !
Radio inactive !;Radio inactive !
Erreur;Erreur
libre 488;libre 488
Niveau mémoire bas;Niveau mémoire bas
A1 bas;A1 bas
A1 critique;A1 critique
A2 bas;A2 bas
A2 critique;A2 critique
libre 494;libre 494
libre 495;libre 495
libre 496;libre 496
libre 497;libre 497
libre 498;libre 498
libre 499;libre 499
libre 500;libre 500
libre 501;libre 501
Vingt secondes;Vingt secondes
Trente secondes;Trente secondes
libre 504;libre 504
libre 505;libre 505
libre 506;libre 506
libre 507;libre 507
libre 508;libre 508
libre 509;libre 509
libre 510;libre 510
libre 511;libre 511
